Section,Module,Cours,TD,TP
L1-S2-1,"ALG02 : Programmation et Structures
de Données",2,1,1
L1-S2-2,"ALG02 : Programmation et Structures
de Données",2,1,1
L1-S2-1,SM : Structure Machine,1,1,0
L3-ISIL-S6-B,"PWEB : Programmation
Web",1,0,1
L3-ISIL-S6-B,GL3 : Génie Logiciel ,1,1,1
M1_BioInf-S2,"Techniques de Rédaction et Recherche 
Documentaire",1,0,0
M1_BioInf-S2,Anglais,1,0,0
